,City,Cloudiness,Humidity,Latitude,Temperature,Windspeed
149,Aklavik,75,77,68.22,-0.41,3.36
150,Avarua,75,88,-21.21,77.0,8.05
151,Acapulco,20,88,16.86,75.2,3.36
152,Bluff,88,46,-23.58,84.44,16.02
153,San Cristobal,75,93,-0.39,51.8,2.24
154,Veraval,44,87,49.65,50.59,11.41
155,Mataura,92,73,-46.19,59.15,27.98
156,Dingle,64,75,11.0,82.55,8.41
157,Cidreira,80,97,-30.17,67.97,6.73
158,Sitka,0,29,37.17,64.82,20.49
159,Bambous Virieux,75,88,-20.34,80.6,8.05
160,Nanortalik,44,100,60.14,32.33,18.81
161,Punta Arenas,0,80,-53.16,41.0,11.41
162,Ribeira Grande,20,58,38.52,57.2,18.34
163,Vondrozo,92,100,-22.82,73.55,3.15
164,Rikitea,20,100,-23.12,79.04,4.94
165,Fortuna,0,93,38.18,50.9,3.36
166,Necochea,0,96,-38.55,52.4,6.4
167,Ilo,24,96,-17.65,57.08,2.15
168,Bilma,0,29,18.69,60.77,2.71
169,Alice Springs,0,14,-23.7,87.8,14.99
170,Albany,90,69,42.65,30.13,6.93
171,Rikitea,20,100,-23.12,79.04,4.94
172,New Norfolk,20,40,-42.78,69.8,17.22
173,Dikson,36,91,73.51,1.55,18.81
174,Cuamba,36,100,-14.8,69.59,4.27
175,Dikson,36,91,73.51,1.55,18.81
176,Kindu,92,100,-2.95,69.14,3.27
177,Ushuaia,75,80,-54.81,41.0,16.11
178,Luanda,75,88,-8.83,78.8,2.24
179,Dikson,36,91,73.51,1.55,18.81
180,Saint-Pierre,0,70,48.95,51.17,10.29
181,Ugoofaaru,36,97,5.67,85.79,6.17
182,Sangar,76,60,63.92,12.35,12.1
183,Turayf,8,48,31.68,66.2,3.36
184,Leningradskiy,0,84,69.38,22.88,8.97
185,Atuona,68,100,-9.8,81.38,16.35
186,Rikitea,20,100,-23.12,79.04,4.94
187,Albany,90,69,42.65,30.13,6.93
188,Te Anau,80,91,-45.41,51.32,17.02
189,Lebu,75,82,8.96,59.0,8.05
190,Liuzhou,12,76,24.32,79.94,9.75
191,Fortuna,0,93,38.18,50.9,3.36
192,Ushuaia,75,80,-54.81,41.0,16.11
193,New Norfolk,20,40,-42.78,69.8,17.22
194,Atuona,68,100,-9.8,81.38,16.35
195,Ushuaia,75,80,-54.81,41.0,16.11
196,Punta Arenas,0,80,-53.16,41.0,11.41
197,Saskylakh,0,75,71.97,0.2,6.96
198,Hermanus,76,96,-34.42,62.3,5.95
199,Albany,90,69,42.65,30.13,6.93
200,Ushuaia,75,80,-54.81,41.0,16.11
201,Alofi,92,94,-19.06,78.8,4.7
202,Jamestown,0,33,-33.21,75.44,6.96
203,Mataura,92,73,-46.19,59.15,27.98
204,Tuktoyaktuk,76,78,69.44,-3.03,9.17
205,Mar del Plata,64,57,-46.43,65.54,17.25
206,Gubkinskiy,44,87,64.43,4.79,17.02
207,Yellowknife,5,63,62.45,-7.61,8.05
208,Punta Arenas,0,80,-53.16,41.0,11.41
209,Uri,0,81,40.64,53.6,9.17
210,Itoman,40,57,26.12,75.63,12.75
211,Palmer,0,56,-34.85,69.8,11.41
212,Bluff,88,46,-23.58,84.44,16.02
213,Zhanaozen,0,73,43.35,52.94,16.46
214,Bhilwara,0,21,25.35,98.12,10.76
215,Sovetskiy,8,97,56.76,34.22,14.79
216,Kapaa,40,83,22.08,71.47,8.05
217,Hobart,20,40,-42.88,69.8,17.22
218,Vaini,0,39,15.34,91.64,3.27
219,Los Llanos de Aridane,75,72,28.66,60.8,4.7
220,Ponta do Sol,44,94,-20.63,64.19,3.04
221,Mataura,92,73,-46.19,59.15,27.98
222,Sao Filipe,56,100,14.9,67.97,14.23
223,Letlhakane,0,74,-21.42,63.65,13.0
224,Mahebourg,75,79,-20.41,84.2,6.93
225,Yellowknife,5,63,62.45,-7.61,8.05
226,San Pedro,76,94,-33.68,63.74,7.85
227,Hermanus,76,96,-34.42,62.3,5.95
228,Belyy Yar,0,58,53.6,28.4,6.71
229,Nikolskoye,90,95,59.7,32.0,17.9
230,Hilo,1,88,19.71,73.4,6.93
231,Jalu,0,61,29.03,57.17,8.08
232,Butaritari,80,100,3.07,82.82,10.2
233,Chuy,56,99,-33.69,66.44,5.17
234,Atuona,68,100,-9.8,81.38,16.35
235,Longhua,0,37,29.21,86.0,4.47
236,Faanui,76,100,-16.48,82.19,11.43
237,Acapulco,20,88,16.86,75.2,3.36
238,Makakilo City,90,94,21.35,69.84,9.17
239,Bambous Virieux,75,88,-20.34,80.6,8.05
240,Bagdarin,48,27,54.44,16.67,6.96
241,Hobart,20,40,-42.88,69.8,17.22
242,Hobart,20,40,-42.88,69.8,17.22
243,Provideniya,20,100,64.42,28.4,2.24
244,Prata,20,96,-19.31,65.54,2.93
245,Port Elizabeth,75,86,39.31,36.82,7.07
246,Tuktoyaktuk,76,78,69.44,-3.03,9.17
247,Narsaq,64,68,60.91,32.0,5.82
248,Severo-Kurilsk,92,99,50.68,31.25,18.14
249,Vaini,0,39,15.34,91.64,3.27
250,Te Anau,80,91,-45.41,51.32,17.02
251,Hermanus,76,96,-34.42,62.3,5.95
252,Hasaki,40,64,35.73,72.73,9.17
253,Campbell River,20,93,50.02,37.4,2.24
254,Mar del Plata,64,57,-46.43,65.54,17.25
255,Puerto Ayora,44,100,-0.74,75.26,6.06
256,Airai,8,64,-8.93,82.73,1.25
257,Vangaindrano,92,100,-23.35,72.47,3.38
258,Churapcha,80,64,62.0,20.18,10.98
259,Vaini,0,39,15.34,91.64,3.27
260,Khovu-Aksy,64,48,51.13,25.13,3.15
261,Kapaa,40,83,22.08,71.47,8.05
262,Qaanaaq,0,84,77.48,-5.84,9.75
263,Rikitea,20,100,-23.12,79.04,4.94
264,Cayenne,20,88,4.94,77.0,3.36
265,Avarua,75,88,-21.21,77.0,8.05
266,Kodiak,90,100,39.95,33.8,3.36
267,Albany,90,69,42.65,30.13,6.93
268,Avarua,75,88,-21.21,77.0,8.05
269,Zhuhai,75,80,40.71,32.0,13.42
270,Port Alfred,80,95,-33.59,70.85,10.87
271,Rikitea,20,100,-23.12,79.04,4.94
272,Lensk,56,57,60.71,21.08,5.28
273,Touros,88,91,-5.2,79.49,6.85
274,Aldama,0,96,22.92,74.81,11.1
275,Milkovo,0,65,41.53,49.23,3.36
276,Faya,5,55,18.39,64.4,5.82
277,Victoria,75,70,5.28,83.98,6.93
278,Vaini,0,39,15.34,91.64,3.27
279,Torbay,90,74,47.66,28.4,8.05
280,Tuktoyaktuk,76,78,69.44,-3.03,9.17
281,Yellowknife,5,63,62.45,-7.61,8.05
282,Rikitea,20,100,-23.12,79.04,4.94
283,Mount Gambier,0,62,-37.83,68.6,4.38
284,Soc Trang,0,59,9.6,89.21,12.66
285,Atuona,68,100,-9.8,81.38,16.35
286,Ancud,100,97,-41.87,57.08,4.05
287,Severo-Kurilsk,92,99,50.68,31.25,18.14
288,Nikolskoye,90,95,59.7,32.0,17.9
289,Esperance,20,83,10.24,77.0,5.61
290,Carnarvon,92,96,-30.97,58.34,6.62
291,Albany,90,69,42.65,30.13,6.93
292,Vaini,0,39,15.34,91.64,3.27
293,Albany,90,69,42.65,30.13,6.93
294,Porto Walter,36,97,-8.27,74.0,2.15
295,Lorengau,44,100,-2.02,82.37,9.86
296,Ossora,92,99,59.24,32.69,13.33
297,Sorland,40,100,67.67,22.14,8.05
298,Ushuaia,75,80,-54.81,41.0,16.11
299,Nouadhibou,0,88,20.93,62.6,17.22
300,Rikitea,20,100,-23.12,79.04,4.94
301,Itarema,48,94,-2.92,74.45,3.04
302,Alofi,92,94,-19.06,78.8,4.7
303,New Norfolk,20,40,-42.78,69.8,17.22
304,Nuuk,0,74,64.17,30.2,10.29
305,Plettenberg Bay,88,94,-34.05,65.81,4.16
306,Punta Arenas,0,80,-53.16,41.0,11.41
307,Bredasdorp,8,93,-34.53,59.0,13.0
308,Kattivakkam,40,63,13.22,91.4,5.82
309,Qaanaaq,0,84,77.48,-5.84,9.75
310,Rikitea,20,100,-23.12,79.04,4.94
311,Barrow,0,91,-38.31,54.56,9.19
312,Gat,12,93,14.69,62.6,2.24
313,Faanui,76,100,-16.48,82.19,11.43
314,Luderitz,80,82,-26.65,62.6,1.12
315,Punta Arenas,0,80,-53.16,41.0,11.41
316,Rikitea,20,100,-23.12,79.04,4.94
317,Aras,0,29,14.28,69.41,3.49
318,Ushuaia,75,80,-54.81,41.0,16.11
319,Cherskiy,20,73,68.75,32.24,5.73
320,Hilo,1,88,19.71,73.4,6.93
321,Lufilufi,40,66,-13.87,86.0,9.17
322,Fortuna,0,93,38.18,50.9,3.36
323,East London,90,88,-33.02,69.8,9.17
324,Coahuayana,44,67,18.62,63.74,2.15
325,Avarua,75,88,-21.21,77.0,8.05
326,Puerto Ayora,44,100,-0.74,75.26,6.06
327,Lincoln,75,93,53.23,47.57,12.75
328,Guerrero Negro,80,100,27.97,55.37,7.74
329,San Pablo,75,58,14.07,87.8,6.93
330,Brownsville,90,88,25.91,74.28,13.87
331,Brazii,0,85,46.24,40.52,2.59
332,Mar del Plata,64,57,-46.43,65.54,17.25
333,Bereda,20,81,43.27,50.0,9.17
334,Tasiilaq,44,79,65.61,19.4,17.22
335,Port Lincoln,0,83,-34.72,67.88,7.63
336,Thinadhoo,48,99,0.53,85.97,4.5
337,Severo-Kurilsk,92,99,50.68,31.25,18.14
338,Ushuaia,75,80,-54.81,41.0,16.11
339,Punta Arenas,0,80,-53.16,41.0,11.41
340,Mataura,92,73,-46.19,59.15,27.98
341,Kapaa,40,83,22.08,71.47,8.05
342,Bambous Virieux,75,88,-20.34,80.6,8.05
343,Busselton,0,83,-33.64,75.44,9.42
344,Barrow,0,91,-38.31,54.56,9.19
345,Vaini,0,39,15.34,91.64,3.27
346,Rikitea,20,100,-23.12,79.04,4.94
347,Vaini,0,39,15.34,91.64,3.27
348,Anzio,20,87,41.45,46.45,1.12
349,Lorengau,44,100,-2.02,82.37,9.86
350,Ribeira Grande,20,58,38.52,57.2,18.34
351,Yellowknife,5,63,62.45,-7.61,8.05
352,Mar del Plata,64,57,-46.43,65.54,17.25
353,Palmer,0,56,-34.85,69.8,11.41
354,Bluff,88,46,-23.58,84.44,16.02
355,Matara,8,93,-13.74,34.85,1.59
356,Lata,64,86,30.78,58.07,1.7
357,Ust-Nera,80,75,64.57,21.98,2.82
358,Khatanga,48,92,71.98,-4.04,4.94
359,Pascagoula,40,88,30.37,71.65,5.82
360,Esperance,20,83,10.24,77.0,5.61
361,Hambantota,8,92,6.12,86.51,3.49
362,Tres Arroyos,0,91,-38.38,54.56,9.19
363,Gat,12,93,14.69,62.6,2.24
364,Mataura,92,73,-46.19,59.15,27.98
365,Karwar,0,40,14.8,91.64,2.71
366,Ushuaia,75,80,-54.81,41.0,16.11
367,Luderitz,80,82,-26.65,62.6,1.12
368,Rikitea,20,100,-23.12,79.04,4.94
369,Los Llanos de Aridane,75,72,28.66,60.8,4.7
370,Caravelas,8,100,-17.73,80.12,15.01
371,Marawi,44,62,8.0,82.91,4.16
372,Pevek,0,69,69.7,31.61,9.64
373,Awbari,0,29,26.59,63.02,12.77
374,Jamestown,0,33,-33.21,75.44,6.96
375,Abbeville,0,87,50.11,50.86,8.05
376,Mandera,92,100,3.94,72.2,4.61
377,Sisimiut,0,72,66.94,14.24,4.5
378,Necochea,0,96,-38.55,52.4,6.4
379,Seymchan,92,89,62.93,32.24,7.4
380,Busselton,0,83,-33.64,75.44,9.42
381,Port Elizabeth,75,86,39.31,36.82,7.07
382,Cayenne,20,88,4.94,77.0,3.36
383,Kikwit,92,100,-5.04,70.31,5.73
384,Graaff-Reinet,44,89,-32.25,59.24,3.6
385,Tura,0,66,25.52,84.53,3.15
386,Bluff,88,46,-23.58,84.44,16.02
387,Qaanaaq,0,84,77.48,-5.84,9.75
388,La Palma,92,100,5.36,63.92,1.92
389,Kulunda,68,82,52.57,31.7,14.45
390,Jamestown,0,33,-33.21,75.44,6.96
391,Carquefou,56,93,47.3,51.78,9.17
392,Yining,0,70,29.04,78.41,3.15
393,Sitka,0,29,37.17,64.82,20.49
394,Qaanaaq,0,84,77.48,-5.84,9.75
395,Huarmey,56,79,-10.07,63.56,2.93
396,Fortuna,0,93,38.18,50.9,3.36
397,Springbok,80,89,-29.67,60.77,2.71
398,Barrow,0,91,-38.31,54.56,9.19
399,Rikitea,20,100,-23.12,79.04,4.94
400,Tasiilaq,44,79,65.61,19.4,17.22
401,San Cristobal,75,93,-0.39,51.8,2.24
402,Rikitea,20,100,-23.12,79.04,4.94
403,Nanortalik,44,100,60.14,32.33,18.81
404,Ust-Nera,80,75,64.57,21.98,2.82
405,Port Elizabeth,75,86,39.31,36.82,7.07
406,Hermanus,76,96,-34.42,62.3,5.95
407,Dekar,12,72,-21.53,61.67,13.89
408,Paamiut,76,89,61.99,32.6,4.16
409,Rikitea,20,100,-23.12,79.04,4.94
410,Yilan,40,61,24.75,80.46,13.87
411,Berlevag,75,100,70.86,31.03,25.28
412,Iqaluit,90,78,63.75,14.0,10.29
413,Dingle,64,75,11.0,82.55,8.41
414,Maniitsoq,0,64,65.42,19.19,8.08
415,Sibu,75,55,2.29,91.4,3.36
416,Atuona,68,100,-9.8,81.38,16.35
417,Yulara,0,13,-25.24,91.4,13.87
418,Rikitea,20,100,-23.12,79.04,4.94
419,Ancud,100,97,-41.87,57.08,4.05
420,Bluff,88,46,-23.58,84.44,16.02
421,Tasiilaq,44,79,65.61,19.4,17.22
422,Ushuaia,75,80,-54.81,41.0,16.11
423,Lazarev,56,73,52.23,30.17,19.71
424,Hami,44,46,42.84,58.61,8.63
425,Castro,92,100,-42.48,54.92,3.6
426,Kuusankoski,75,86,60.91,28.4,11.41
427,Ushuaia,75,80,-54.81,41.0,16.11
428,Albert,56,87,50.0,50.0,14.99
429,Mataura,92,73,-46.19,59.15,27.98
430,Riyadh,90,19,24.63,78.8,6.93
431,Makakilo City,90,94,21.35,69.84,9.17
432,Sydney,20,64,-33.85,74.37,10.29
433,Ribeira Grande,20,58,38.52,57.2,18.34
434,Avera,1,67,33.19,58.64,5.82
435,Umm Lajj,68,99,25.02,72.29,3.94
436,Saint George,0,71,39.45,51.8,4.7
437,Vredendal,36,95,-31.68,56.0,3.83
438,Bluff,88,46,-23.58,84.44,16.02
439,Tubuala,0,88,9.52,69.8,2.24
440,Port Alfred,80,95,-33.59,70.85,10.87
441,Ushuaia,75,80,-54.81,41.0,16.11
442,Punta Arenas,0,80,-53.16,41.0,11.41
443,Grindavik,75,92,63.84,27.28,14.99
444,Rikitea,20,100,-23.12,79.04,4.94
445,Salisbury,90,93,51.07,49.73,14.99
446,Vestmannaeyjar,92,100,63.44,33.77,17.81
447,Gornopravdinsk,0,59,60.06,19.82,3.94
448,Richards Bay,0,78,-28.77,76.16,10.42
449,Punta Arenas,0,80,-53.16,41.0,11.41
450,Hofn,0,100,64.25,24.95,18.59
451,Jiuquan,8,77,39.73,44.12,6.06
452,Clyde River,90,84,70.47,8.6,4.7
453,Bredasdorp,8,93,-34.53,59.0,13.0
454,Rikitea,20,100,-23.12,79.04,4.94
455,Vardo,90,70,39.62,43.11,4.7
456,Carnarvon,92,96,-30.97,58.34,6.62
457,Talnakh,12,91,69.49,-7.46,4.16
458,Vao,76,87,59.1,30.44,14.45
459,Ribeira Grande,20,58,38.52,57.2,18.34
460,Tiksi,36,85,71.64,13.97,7.07
461,Dudinka,32,82,69.41,-5.03,5.06
462,Punta Arenas,0,80,-53.16,41.0,11.41
463,Kahului,90,100,20.89,69.49,9.17
464,Punta Arenas,0,80,-53.16,41.0,11.41
465,Cayenne,20,88,4.94,77.0,3.36
466,Palmer,0,56,-34.85,69.8,11.41
467,Port Alfred,80,95,-33.59,70.85,10.87
468,Kaeo,20,52,-35.1,71.3,3.6
469,Madisonville,90,93,37.33,51.78,5.82
470,Doha,0,36,25.29,80.6,10.29
471,Narsaq,64,68,60.91,32.0,5.82
472,Quang Ngai,0,53,15.12,84.53,3.38
473,Rodrigues Alves,90,94,-7.74,75.2,2.59
474,Ushuaia,75,80,-54.81,41.0,16.11
475,Veraval,44,87,49.65,50.59,11.41
476,Zhigansk,80,56,66.77,14.6,8.3
477,Kapaa,40,83,22.08,71.47,8.05
478,Paragominas,92,100,-3.0,73.1,3.71
479,Ushuaia,75,80,-54.81,41.0,16.11
480,Vestmannaeyjar,92,100,63.44,33.77,17.81
481,Pingxiang,76,100,27.63,69.59,2.37
482,Albany,90,69,42.65,30.13,6.93
483,Beringovskiy,0,95,63.05,27.65,5.17
484,Batagay-Alyta,76,88,67.8,19.28,4.27
485,Alofi,92,94,-19.06,78.8,4.7
486,Jamestown,0,33,-33.21,75.44,6.96
487,Vaini,0,39,15.34,91.64,3.27
488,Vao,76,87,59.1,30.44,14.45
489,Surt,8,100,31.21,56.9,8.97
490,Atuona,68,100,-9.8,81.38,16.35
491,Luderitz,80,82,-26.65,62.6,1.12
492,Hobart,20,40,-42.88,69.8,17.22
493,Port Elizabeth,75,86,39.31,36.82,7.07
494,Ushuaia,75,80,-54.81,41.0,16.11
495,Lorengau,44,100,-2.02,82.37,9.86
496,Rincon de La Victoria,88,99,-21.52,48.35,1.48
497,Albany,90,69,42.65,30.13,6.93
498,Mataura,92,73,-46.19,59.15,27.98
499,Lagos,20,88,6.46,82.4,2.24
500,Barrow,0,91,-38.31,54.56,9.19
501,Nanortalik,44,100,60.14,32.33,18.81
502,La Asuncion,88,97,-1.64,45.65,0.92
503,Makakilo City,90,94,21.35,69.84,9.17
504,Englehart,75,85,47.82,15.8,10.29
505,Broken Hill,0,34,-31.97,77.69,14.56
506,Busselton,0,83,-33.64,75.44,9.42
507,Baykit,44,78,61.68,19.19,6.4
508,Upernavik,20,90,72.79,12.98,12.66
509,Tilichiki,88,94,60.47,33.95,11.21
510,Ushuaia,75,80,-54.81,41.0,16.11
511,Cape Town,0,77,-33.93,64.4,5.82
512,Jamestown,0,33,-33.21,75.44,6.96
513,Sao Geraldo do Araguaia,88,99,-6.4,73.01,4.61
514,Rikitea,20,100,-23.12,79.04,4.94
515,New Norfolk,20,40,-42.78,69.8,17.22
516,Butaritari,80,100,3.07,82.82,10.2
517,Mataura,92,73,-46.19,59.15,27.98
518,Kodiak,90,100,39.95,33.8,3.36
519,Lukovetskiy,90,100,64.29,35.6,15.66
520,Victoria,75,70,5.28,83.98,6.93
521,Inuvik,75,77,68.36,-2.42,3.36
522,Ushuaia,75,80,-54.81,41.0,16.11
523,Kinsale,75,100,51.71,44.6,8.05
524,Vaini,0,39,15.34,91.64,3.27
525,Punta Arenas,0,80,-53.16,41.0,11.41
526,Yellowknife,5,63,62.45,-7.61,8.05
527,Hermanus,76,96,-34.42,62.3,5.95
528,Ancud,100,97,-41.87,57.08,4.05
529,Grimstad,0,73,66.94,19.17,14.99
530,Broken Hill,0,34,-31.97,77.69,14.56
531,Rikitea,20,100,-23.12,79.04,4.94
532,Grindavik,75,92,63.84,27.28,14.99
533,Hasaki,40,64,35.73,72.73,9.17
534,Albany,90,69,42.65,30.13,6.93
535,Saint-Philippe,1,75,45.36,31.95,5.82
536,Syamzha,88,100,60.02,37.55,19.82
537,Butaritari,80,100,3.07,82.82,10.2
538,Pimentel,80,99,-3.7,72.65,2.93
539,Wapi Pathum,40,40,15.84,91.56,6.93
540,Port Lincoln,0,83,-34.72,67.88,7.63
541,Albany,90,69,42.65,30.13,6.93
542,Rajshahi,0,69,24.37,88.4,4.61
543,Boffa,48,86,10.18,72.83,1.81
544,Bredasdorp,8,93,-34.53,59.0,13.0
545,New Norfolk,20,40,-42.78,69.8,17.22
546,Busselton,0,83,-33.64,75.44,9.42
547,Bilma,0,29,18.69,60.77,2.71
548,Iberia,48,98,-11.41,73.1,2.15
549,Ushuaia,75,80,-54.81,41.0,16.11
550,Pangnirtung,56,78,66.15,29.0,13.67
551,Plastun,48,37,44.76,38.99,9.86
552,Mazatlan,90,100,23.22,62.6,2.26
553,Butaritari,80,100,3.07,82.82,10.2
554,Arys,0,36,42.43,64.4,15.66
555,Rikitea,20,100,-23.12,79.04,4.94
556,Thompson,5,57,55.74,-13.01,4.38
557,Nikolskoye,90,95,59.7,32.0,17.9
558,Luderitz,80,82,-26.65,62.6,1.12
559,Jamestown,0,33,-33.21,75.44,6.96
